code,idx,date,close
002296.XSHE,2.0,2019-07-31,7.26
002296.XSHE,3.0,2019-08-30,6.5
002296.XSHE,4.0,2019-09-30,6.54
002296.XSHE,5.0,2019-10-31,6.74
002296.XSHE,6.0,2019-11-29,7.17
002296.XSHE,7.0,2019-12-31,7.96
002296.XSHE,8.0,2020-01-23,8.3
002296.XSHE,9.0,2020-02-28,7.52
002296.XSHE,10.0,2020-03-31,7.5
002296.XSHE,11.0,2020-04-30,7.28
002297.XSHE,0.0,2019-05-31,8.22
002297.XSHE,1.0,2019-06-28,8.19
002297.XSHE,2.0,2019-07-31,7.47
002297.XSHE,3.0,2019-08-30,7.7
002297.XSHE,4.0,2019-09-30,6.98
002297.XSHE,5.0,2019-10-31,6.59
002297.XSHE,6.0,2019-11-29,6.15
002297.XSHE,7.0,2019-12-31,6.42
002297.XSHE,8.0,2020-01-23,6.08
002297.XSHE,9.0,2020-02-28,5.91
002297.XSHE,10.0,2020-03-31,5.17
002297.XSHE,11.0,2020-04-30,5.09
002298.XSHE,0.0,2019-05-31,7.47
002298.XSHE,1.0,2019-06-28,7.08
002298.XSHE,2.0,2019-07-31,7.48
002298.XSHE,3.0,2019-08-30,7.03
002298.XSHE,4.0,2019-09-30,7.64
002298.XSHE,5.0,2019-10-31,7.71
002298.XSHE,6.0,2019-11-29,7.14
002298.XSHE,7.0,2019-12-31,7.56
002298.XSHE,8.0,2020-01-23,8.55
002298.XSHE,9.0,2020-02-28,9.72
002298.XSHE,10.0,2020-03-31,7.89
002298.XSHE,11.0,2020-04-30,8.36
002299.XSHE,0.0,2019-05-31,26.19
002299.XSHE,1.0,2019-06-28,23.82
002299.XSHE,2.0,2019-07-31,26.22
002299.XSHE,3.0,2019-08-30,25.79
002299.XSHE,4.0,2019-09-30,23.19
002299.XSHE,5.0,2019-10-31,27.14
002299.XSHE,6.0,2019-11-29,22.35
002299.XSHE,7.0,2019-12-31,22.65
002299.XSHE,8.0,2020-01-23,20.95
002299.XSHE,9.0,2020-02-28,21.69
002299.XSHE,10.0,2020-03-31,23.65
002299.XSHE,11.0,2020-04-30,21.73
002300.XSHE,0.0,2019-05-31,6.81
002300.XSHE,1.0,2019-06-28,6.83
002300.XSHE,2.0,2019-07-31,6.8
002300.XSHE,3.0,2019-08-30,7.19
002300.XSHE,4.0,2019-09-30,6.86
002300.XSHE,5.0,2019-10-31,6.87
002300.XSHE,6.0,2019-11-29,6.36
002300.XSHE,7.0,2019-12-31,6.66
002300.XSHE,8.0,2020-01-23,6.65
002300.XSHE,9.0,2020-02-28,6.31
002300.XSHE,10.0,2020-03-31,6.52
002300.XSHE,11.0,2020-04-30,7.23
002301.XSHE,0.0,2019-05-31,11.0
002301.XSHE,1.0,2019-06-28,11.59
002301.XSHE,2.0,2019-07-31,11.91
002301.XSHE,3.0,2019-08-30,11.17
002301.XSHE,4.0,2019-09-30,11.7
002301.XSHE,5.0,2019-10-31,12.59
002301.XSHE,6.0,2019-11-29,12.71
002301.XSHE,7.0,2019-12-31,12.16
002301.XSHE,8.0,2020-01-23,12.55
002301.XSHE,9.0,2020-02-28,18.24
002301.XSHE,10.0,2020-03-31,13.7
002301.XSHE,11.0,2020-04-30,15.3
002302.XSHE,0.0,2019-05-31,10.97
002302.XSHE,1.0,2019-06-28,11.05
002302.XSHE,2.0,2019-07-31,11.35
002302.XSHE,3.0,2019-08-30,10.35
002302.XSHE,4.0,2019-09-30,10.93
002302.XSHE,5.0,2019-10-31,10.86
002302.XSHE,6.0,2019-11-29,11.0
002302.XSHE,7.0,2019-12-31,11.2
002302.XSHE,8.0,2020-01-23,10.79
002302.XSHE,9.0,2020-02-28,10.73
002302.XSHE,10.0,2020-03-31,9.95
002302.XSHE,11.0,2020-04-30,9.6
002303.XSHE,0.0,2019-05-31,5.03
002303.XSHE,1.0,2019-06-28,4.51
002303.XSHE,2.0,2019-07-31,4.2
002303.XSHE,3.0,2019-08-30,4.31
002303.XSHE,4.0,2019-09-30,4.44
002303.XSHE,5.0,2019-10-31,5.65
002303.XSHE,6.0,2019-11-29,4.48
002303.XSHE,7.0,2019-12-31,4.95
002303.XSHE,8.0,2020-01-23,4.74
002303.XSHE,9.0,2020-02-28,4.77
002303.XSHE,10.0,2020-03-31,4.6
002303.XSHE,11.0,2020-04-30,4.67
002304.XSHE,0.0,2019-05-31,111.33
002304.XSHE,1.0,2019-06-28,121.56
002304.XSHE,2.0,2019-07-31,116.51
002304.XSHE,3.0,2019-08-30,111.98
002304.XSHE,4.0,2019-09-30,104.0
002304.XSHE,5.0,2019-10-31,100.79
002304.XSHE,6.0,2019-11-29,98.19
002304.XSHE,7.0,2019-12-31,110.5
002304.XSHE,8.0,2020-01-23,107.16
002304.XSHE,9.0,2020-02-28,97.38
002304.XSHE,10.0,2020-03-31,83.87
002304.XSHE,11.0,2020-04-30,98.44
002305.XSHE,0.0,2019-05-31,2.65
002305.XSHE,1.0,2019-06-28,2.55
002305.XSHE,2.0,2019-07-31,2.37
002305.XSHE,3.0,2019-08-30,2.22
002305.XSHE,4.0,2019-09-30,2.13
002305.XSHE,5.0,2019-10-31,2.15
002305.XSHE,6.0,2019-11-29,2.15
002305.XSHE,7.0,2019-12-31,2.2
002305.XSHE,8.0,2020-01-23,1.99
002305.XSHE,9.0,2020-02-28,1.89
002305.XSHE,10.0,2020-03-31,2.1
002305.XSHE,11.0,2020-04-30,2.17
002306.XSHE,0.0,2019-05-31,3.17
002306.XSHE,1.0,2019-06-28,3.19
002306.XSHE,2.0,2019-07-30,2.98
002306.XSHE,3.0,2019-08-30,2.68
002306.XSHE,4.0,2019-09-30,2.83
